Text,Label
"And when he did, he followed this bizarre pattern that he has followed for year after year after year where he refuses to say the words “radical Islamic” terrorism.",1
"Let’s be clear, how many hours of free media do CNN, and FOX, and every other station — you let him call in, and for a year — $2 billion dollars of free media…",1
I want to break up the Wall Street banks.,1
I want to raise the minimum wage to 15 bucks an hour.,1
She wants $12 an hour.,1
She voted for the War in Iraq.,1
I believe we should ban fracking.,1
I have major disagreements with my opponent about these issues and others that will be before the Supreme Court.,1
"But I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v. Wade, that we stand up against Citizens United, we stand up for the rights of people in the workplace, that we stand up and basically say: The Supreme Court should represent all of us.",1
"I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now.",1
"And so when I think about what we need to do, we have 33,000 people a year who die from guns.",1
"And what I was saying that you referenced, Chris, was that I disagreed with the way the court applied the Second Amendment in that case, because what the District of Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them.",1
"And, indeed, he said women should be punished, that there should be some form of punishment for women who obtain abortions.",1
Hillary wants to give amnesty.,1
She wants to have open borders.,1
All of the problems -- the single biggest problem is heroin that pours across our southern border.,1
It's just pouring and destroying their youth.,1
He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.,1
Hillary Clinton wanted the wall.,1
Hillary Clinton fought for the wall in 2006 or thereabouts.,1
He used undocumented labor to build the Trump Tower.,1
"She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people.",1
I don't know Putin.,1
"that the Russians have engaged in cyberattacks against the United States of America, that you encouraged espionage against our people, that you are willing to spout the Putin line, sign up for his wish list, break up NATO, do whatever he wants to do, and that you continue to get help from him, because he has a very clear favorite in this race.",1
"We have 17 -- 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin and they are designed to influence our election.",1
"advocated more countries getting them, Japan, Korea, even Saudi Arabia.",1
"I want us to have the biggest jobs program since World War II, jobs in infrastructure and advanced manufacturing.",1
"Because his whole plan is to cut taxes, to give the biggest tax breaks ever to the wealthy and to corporations, adding $20 trillion to our debt, and causing the kind of dislocation that we have seen before, because it truly will be trickle-down economics on steroids.",1
"Well, first of all, before I start on my plan, her plan is going to raise taxes and even double your taxes.",1
She lied when she said she didn't call it the gold standard in one of the debates.,1
She did call it the gold standard.,1
"Just like when you ran the State Department, $6 billion was missing.",1
"You ran the State Department, $6 billion was either stolen.",1
"It's gone, $6 billion.",1
He was getting sued by the Justice Department for racial discrimination in his apartment buildings.,1
"She gave us ISIS, because her and Obama created this huge vacuum, and a small group came out of that huge vacuum because when -- we should never have been in Iraq, but once we were there, we should have never got out the way they wanted to get out.",1
She gave us ISIS as sure as you are sitting there.,1
"And since then, as we all know, nine women have come forward and have said that you either groped them or kissed them without their consent.",1
"Well, first of all, those stories have been largely debunked.",1
"But I will tell you what isn't fictionalized are her e-mails, where she destroyed 33,000 e-mails criminally, criminally, after getting a subpoena from the United States Congress.",1
"But he also went after a disabled reporter, mocked and mimicked him on national television.",1
Wrong.,1
"But just briefly, the Clinton Foundation made it possible for 11 million people around the world with HIV-AIDS to afford treatment, and that's about half all the people in the world who are getting treatment.",1
"Saudi Arabia giving $25 million, Qatar, all of these countries.",1
These are people that kill women and treat women horribly.,1
"So I'd like to ask you right now, why don't you give back the money that you've taken from certain countries that treat certain groups of people so horribly?",1
"And I'd be happy to compare what we do with the Trump Foundation, which took money from other people and bought a six- foot portrait of Donald.",1
"He is the first candidate ever to run for president in the last 40-plus years who has not released his tax returns, so everything he says about charity or anything else, we can't prove it.",1
"And all of her donors -- just about all of them -- I know Buffett took hundreds of millions of dollars, Soros, George Soros, took hundreds of millions of dollars...",1
"If you look -- excuse me, Chris -- if you look at your voter rolls, you will see millions of people that are registered to vote -- millions, this isn't coming from me -- this is coming from Pew Report and other places -- millions of people that are registered to vote that shouldn't be registered to vote.",1
There was even a time when he didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged against him.,1
"Well, you know, once again, Donald is implying that he didn't support the invasion of Iraq.",1
I said it was a mistake.,1
I've said that years ago.,1
He has consistently denied what is...,1
We gave them $150 billion back.,1
"It's -- the premiums are going up 60 percent, 70 percent, 80 percent.",1
"We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.",1
Americans haven't had a raise in 15 years.,1
"We pay, by far, the highest prices in the world for prescription drugs.",1
"As I understand it, the African-American community lost half of their wealth as a result of the Wall Street collapse.",1
He has called him a disappointment.,1
"But, you know, I think what's important and what I think the Clinton campaign has not been very good at explaining is this and this is the truth: the overwhelming amount of money that we're raising, and it is a lot, but the overwhelming amount of the money that we're raising, is not going to Hillary to run for President, it's going to the down-ticket.",1
"When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago.",1
"Last year, we had almost $800 billion trade deficit.",1
We had an $800 billion deficit.,1
We have seen him insult women.,1
"But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others.",1
"I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed.",1
"Her client she represented got him off, and she's seen laughing on two separate occasions, laughing at the girl who was raped.",1
"Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal -- he's another real winner that you have -- and he's the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that.",1
"There has never been anything like this, where e-mails -- and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e-mails, and then you acid wash them or bleach them, as you would say, very expensive process.",1
"Right now, we are at 90 percent health insurance coverage.",1
That's the highest we've ever been in our country.,1
"She wants to go to a single-payer plan, which would be a disaster, somewhat similar to Canada.",1
And we have to be sure that Muslims come in and report when they see something going on.,1
"As an example, in San Bernardino, many people saw the bombs all over the apartment of the two people that killed 14 and wounded many, many people.",1
And Hillary Clinton wants to allow a 550 percent increase over Obama.,1
"People are coming into our country like we have no idea who they are, where they are from, what their feelings about our country is, and she wants 550 percent more.",1
"And indeed, you can look at the propaganda on a lot of the terrorists sites, and what Donald Trump says about Muslims is used to recruit fighters, because they want to create a war between us.",1
I was against -- I was against the war in Iraq.,1
We're also letting drugs pour through our southern border at a record clip.,1
"But as far as other elements of what she was saying, I don't know Putin.",1
But I don't know Putin.,1
"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.",1
"Eight million kids every year have health insurance, because when I was first lady I worked with Democrats and Republicans to create the Children's Health Insurance Program.",1
"When I was secretary of state, I went around the world advocating for our country, but also advocating for women's rights, to make sure that women had a decent chance to have a better life and negotiated a treaty with Russia to lower nuclear weapons.",1
"First of all, she was there as secretary of state with the so-called line in the sand, which...",1
"But our nuclear program has fallen way behind, and they've gone wild with their nuclear program.",1
We are old.,1
We're tired.,1
We're exhausted in terms of nuclear.,1
Look at what she did in Libya with Gadhafi.,1
"And, by the way, ISIS has a good chunk of their oil.",1
"Well, what Russia did with Assad and, by the way, with Iran, who you made very powerful with the dumbest deal perhaps I've ever seen in the history of deal-making, the Iran deal, with the $150 billion, with the $1.7 billion in cash, which is enough to fill up this room.",1
"And now she wants to sign TPP, even though she says now she's for it.",1
She called it the gold standard.,1
"And there's a lot of fear -- in fact, teachers and parents are calling it the Trump effect.",1
Bullying is up.,1
"We have an increase in murder within our cities, the biggest in 45 years.",1
"No, there wasn't check out a sex tape.",1
"Also, the Second Amendment, which is totally under siege by people like Hillary Clinton.",1
"They're worried about the future of their kids, and yet almost all new income and wealth is going to the top 1 percent.",1
"A group of national security experts, military intelligence experts, issued a very concerning statement about Senator Sanders's views on foreign policy and national security, pointing out some of the comments he has made on these issues, such as inviting Iranian troops into Syria to try to resolve the conflict there; putting them right at the doorstep of Israel.",1
I waited until it had actually been negotiated because I did want to give the benefit of the doubt to the administration.,1
Workers today are working longer hours for lower wages.,1
"Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.",1
"In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.",1
"In fact, Donald was one of the people who rooted for the housing crisis.",1
"He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money.""",1
"Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession.",1
Donald thinks that climate change is a hoax perpetrated by the Chinese.,1
I do not say that.,1
"The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it.",1
"He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact.",1
"The biggest one, a multinational one known as CAFTA, I voted against.",1
"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent.",1
You called it the gold standard of trade deals.,1
You said it's the finest deal you've ever seen.,1
"Now, look, we have the worst revival of an economy since the Great Depression.",1
