Text,Label
These are the facts: Decades of progress made in bringing down crime are now being reversed by this Administration's rollback of criminal enforcement.,1
Homicides last year increased by 17 percent in America's fifty largest cities.,1
That's the largest increase in 25 years.,1
"In our nation's capital, killings have risen by 50 percent.",1
They are up nearly 60% in nearby Baltimore.,1
"Household incomes are down more than $4,000 since the year 2000.",1
"Our trade deficit has reached an all-time high think of this, think of this, our trade deficit is nearly $800 billion, think of that, 800 billion dollars, last year alone.",1
"This was just prior to the signing of the Iran deal, which gave back to Iran $150 billion and gave us absolutely nothing – it will go down in history as one of the worst deals ever negotiated.",1
"Egypt was turned over to the radical Muslim brotherhood, forcing the military to retake control.",1
Iran is on the path to nuclear weapons.,1
"And when a Secretary of State illegally stores her emails on a private server, deletes 33,000 of them so the authorities can't see her crime, puts our country at risk, lies about it in every different form and faces no consequence – I know that corruption has reached a level like never ever before in our country.",1
"My opponent has called for a radical 550% increase in Syrian, think of this.",1
A 550 percent increase in Syrian refugees on top of existing massive refugee flows coming into our country already under the leadership of President Obama.,1
She proposes this despite the fact that there's no way to screen these refugees in order to find out who they are or where they come from.,1
"Remember, it was Bill Clinton who signed NAFTA, one of the worst economic deals ever made by our country.",1
"While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for the president this year – Democrat or Republican.",1
"Middle-income Americans and businesses will experience profound relief, and taxes will be greatly simplified for everyone.",1
America is one of the highest-taxed nations in the world.,1
"Excessive regulation is costing our country as much as $2 trillion a year, and we will end it very, very quickly.",1
You will be able to choose your own doctor again.,1
"Arizona put in very tough laws on illegal immigration, and the result was illegal immigrants fled the state, and what's happened there -- it was a very interesting article.",1
"But, what the state of Arizona has seen is the dollars they're spending on welfare, on prisons, and education, all of those have dropped by hundreds of millions of dollars.",1
"But I also think that if you're going to claim that you're the only one that lifted this into the campaign, that you acknowledge that, for example, you're only person on this stage that has ever been fined for hiring people to work on your projects illegally.",1
You hired some workers from Poland...,1
He hired workers from Poland.,1
And he had to pay a million dollars or so in a judgment from...,1
That's wrong.,1
Totally wrong.,1
That's a fact.,1
"Trump Polish workers, you'll see a million dollars for hiring illegal workers on one of his projects.",1
He did it.,1
That happened.,1
You paid a million dollars.,1
"If you look at the eight members of the Gang of Eight, Donald gave over $50,000 to three Democrats and two Republicans.",1
"And by the way, Marco is exactly right that a federal court found Donald guilty of being part of a conspiracy to hire people illegally and entered a $1 million judgment against him.",1
"And you know, there is a reason why, when Harry Reid was asked, of all the people on this stage, who does he want the most, who does he like the most, Harry Reid said Donald -- Donald Trump.",1
"Because Donald has supported him in the past, and he knows he can cut a deal with him.",1
I'm self-funding my campaign.,1
I'm the only one in either party self-funding my campaign.,1
"I want to end it because it goes too far, it's killed millions of jobs, and it's hurting people's health care.",1
"If you look at what's going on, we have the highest taxes anywhere in the world.",1
"We pay more business tax, we pay more personal tax.",1
We have the highest taxes in the world.,1
"But of the over 400,000 jobs that we've created in the state, we think maybe 15,000 are connected to this industry, because it's early-stage.",1
"I will absolutely give my return, but I'm being audited now for two or three years, so I can't do it until the audit is finished, obviously.",1
... RealClearPolitics he has lost to Hillary on eight of them.,1
"In the last 10 polls on RealClearPolitics, I either tied or beat Hillary.",1
"I beat her, and I beat her badly.",1
"So for example, in Libya, both of them agreed with the Obama/Clinton policy of toppling the government in Libya.",1
I never discussed that subject.,1
"First of all, you're talking about a border that's many, many times longer.",1
"The problem with Canada, you're talking about a massively long piece.",1
You're talking about a border that would be about four times longer.,1
"Well, it is true that now that the spotlight is pretty bright here in New York, some things have been said and Senator Sanders did call me unqualified.",1
That was a first.,1
"Let's talk about super PACs and 501(c)(4)s, money which is completely undisclosed.",1
And I have supported...,1
-- I have supported the fight for 15.,1
I supported that when I was in the Senate.,1
"I have taken my cue from the Democrats in the Senate, led by Senator Patty Murray and others, like my good friend Kirsten Gillibrand, who has said we will set a national level of $12 and then urge any place that can go above it to go above it.",1
"And I think setting the goal to get to $12 is the way to go, encouraging others to get to $15.",1
"Well, the facts are that most of the guns that end up committing crimes in New York come from out of state.",1
They come from the states that don't have kind of serious efforts to control guns that we do in New York.,1
"But, as I understand it, 43 lobbyists for the fossil fuel industry maxed out, gave the maximum amount of money to Secretary Clinton's campaign.",1
"-- I -- I would just point out that there was a vote in the Senate as to whether or not the United States should support the efforts by the Libyan people to protect themselves against the threats, the genocidal threats coming from Gadhafi, and whether we should go to the United Nations to seek Security Council support.",1
"Senator Sanders voted for that, and that's exactly what we did.",1
"Well, you know what, I surely have always supported Libya moving to democracy.",1
But please do not confuse that with your active effort for regime change without contemplating what happened the day after.,1
"You gave a major speech to AIPAC, which obviously deals with the Middle East crisis, and you barely mentioned the Palestinians.",1
Secretary Clinton cleaned our clock in the Deep South.,1
They are working longer hours for low wages.,1
"They're worried about the future of their kids, and yet almost all new income and wealth is going to the top 1 percent.",1
The reality is that there has been trillions of dollars of wealth going from the middle class in the last 30 years to the top 1/10th of 1 percent.,1
"Do you think there's a reason why not one Republican has the guts to recognize that climate change is real, and that we need to transform our energy system?",1
"And I keep going back to this because part of the reason the Wall Street guys are trying so hard to stop me -- the hedge fund guys, the shadow banking guys -- is because I've got their number on all of that.",1
When you ran against Senator Obama you thought him naive because he thought it was a good idea to talk to our enemies.,1
"Democrats win when there is a large voter turnout; when people are excited; when working people, middle class people and young people are prepared to engage in the political process.",1
"Republicans win when people are demoralized and you have a small voter turnout, which by the way is why they love voter suppression.",1
"If there is a large voter turnout, not only do we retain the White House, but I think we regain the Senate.",1
"So I believe if you want to retain the White House, if you want to see Democrats do well across the board, I think our campaign is the one that creates the large voter turnout and helps us win.",1
"Your campaign has now been criticized for its operatives essentially impersonating culinary union members wearing union pins in Nevada, and the Nashua Telegraph has complained recently that you falsely implied in an advertisement that they had endorsed you when they did not.",1
"In terms of the last one, as I understand it, we did not suggest that we had the endorsement of a newspaper.",1
"So we never said, never said that somebody, a newspaper endorsed us that did not.",1
"That was just something -- as the secretary knows, you put titles on ads and you send them out, but there was no word in that ad, none, that said that those newspapers had endorsed us.",1
In the '90s you supported NAFTA.,1
But you opposed it when you ran for the president in 2008.,1
"As secretary of state, you supported TPP, and then -- which, of course, is that trade agreement with a lot of Asian countries, but you now oppose it as you make your second bid for president.",1
"Once I saw what the outcome was, I opposed it.",1
"I didn't believe that for a second because I understood what the function of NAFTA, CAFTA, PNTR with China, and the TPP is, it's to say to American workers, hey, you are now competing against people in Vietnam who make 56 cents an hour minimum wage.",1
I don't want American workers to compete against people making 56 cents an hour.,1
"But the current trade agreements over the last 30 years were written by corporate America, for corporate America, resulted in the loss of millions of decent-paying jobs, 60,000 factories in America lost since 2001, millions of decent-paying jobs; and also a downward spiral, a race to the bottom where employers say, ""Hey, you don't want to take a cut in pay? We're going to China.""",1
Workers today are working longer hours for lower wages.,1
We have the highest rate of childhood poverty of almost any major country on earth.,1
She worked to deal with the Russians to reduce their chemical weapons stockpile.,1
She worked a tough negotiation with nations around the world to eliminate the Iranian nuclear weapons program without firing a shot.,1
"Governor, President Bush said we would leave Iraq at the end of 2011.",1
"And, Elaine, Iraq didn't want our troops to stay, and they wouldn't give us the protection for our troops.",1
The state of Indiana has balanced budgets.,1
"We cut taxes, we've made record investments in education and in infrastructure, and I still finish my term with $2 billion in the bank.",1
"In the state of Indiana, we've cut unemployment in half; unemployment doubled when he was governor.",1
"First, Donald Trump said wages are too high.",1
Independent analysts say the Clinton plan would grow the economy by 10.5 million jobs.,1
The Trump plan would cost 3.5 million jobs.,1
Fifteen million new jobs?,1
Richard Nixon released tax returns when he was under audit.,1
You're not going to cut taxes.,1
You're going to raise taxes on the middle class.,1
"But Hillary Clinton actually referred to that moment as an example of implicit bias in the police force, where -- where she used -- when she was asked in the debate a week ago whether there was implicit bias in law enforcement, her only answer was that there's implicit bias in everyone in the United States.",1
"Senator, when African-American police officers involved in a police action shooting involving an African-American, why would Hillary Clinton accuse that African-American police officer of implicit bias?",1
"Look, what you just heard is they have a plan for open borders, amnesty.",1
"And last and most dangerously, Donald Trump believes -- Donald Trump believes that the world will be safer if more nations have nuclear weapons.",1
"He's said Saudi Arabia should get them, Japan should get them, Korea should get them.",1
"And when he was confronted with this, and told, wait a minute, terrorists could get those, proliferation could lead to nuclear war, here's what Donald Trump said, and I quote: ""Go ahead, folks, enjoy yourselves.""",1
That's why Donald Trump's claim that he wants to -- that NATO is obsolete and that we need to get rid of NATO is so dangerous.,1
And all investigation concluded that not one reasonable prosecutor would take any additional step.,1
And a Republican FBI director did an investigation and concluded that...,1
"But Governor Pence said, inarguably, Vladimir Putin is a better leader than President Obama.",1
Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.,1
"But honestly, Senator, we would know a lot more about it if Hillary Clinton would just turn over the 33,000 e-mails...",1
But what I can't understand is with Hillary Clinton and now Senator Kaine at her side is to support a practice like partial-birth abortion.,1
"When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago.",1
"Last year, we had almost $800 billion trade deficit.",1
We had an $800 billion deficit.,1
"So you can say any way you want to say it, but Bill Clinton was abusive to women.",1
"One of the women, who is a wonderful woman, at 12 years old, was raped at 12.",1
"Her client she represented got him off, and she's seen laughing on two separate occasions, laughing at the girl who was raped.",1
"Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal -- he's another real winner that you have -- and he's the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that.",1
"There has never been anything like this, where e-mails -- and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e-mails, and then you acid wash them or bleach them, as you would say, very expensive process.",1
"After a year-long investigation, there is no evidence that anyone hacked the server I was using and there is no evidence that anyone can point to at all -- anyone who says otherwise has no basis -- that any classified material ended up in the wrong hands.",1
